guid,country name,country borders,tags,map,country info,country border info
QFS]r^hAAV,Afghanistan,"Uzbekistan, China, Iran, Pakistan, Tajikistan, Turkmenistan","UG::Asia, UG::Sovereign_State","<img src=""ug-map-afghanistan.png"" />",,
uZN_1{rDV),Albania,"Greece, Kosovo, Serbia, Montenegro, North Macedonia","UG::Europe, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-albania.png"" />",,
Ad>a3h*nQ[,Algeria,"Mauritania, Morocco, Niger, Tunisia, Sahrawi Arab Democratic Republic, Libya, Mali","UG::Africa, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-algeria.png"" />",,
mp|VfbxyRQ,Andorra,"France, Spain","UG::Europe, UG::Sovereign_State","<img src=""ug-map-andorra.png"" />",,
pBvKEDD{si,Angola,"Zambia, Democratic Republic of the Congo, Namibia, Republic of the Congo","UG::Africa, UG::Sovereign_State","<img src=""ug-map-angola.png"" />",,
fedHR8_ZW1,Argentina,"Chile, Brazil, Paraguay, Uruguay, Bolivia","UG::South_America, UG::Sovereign_State","<img src=""ug-map-argentina.png"" />",,
glx;7^tIW},Armenia,"Azerbaijan, Iran, Georgia, Turkey","UG::Europe, UG::Sovereign_State","<img src=""ug-map-armenia.png"" />",,
vRLg8o1=V{,Austria,"Slovenia, Germany, Hungary, Czech Republic, Italy, Liechtenstein, Slovakia, Switzerland","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-austria.png"" />",,
feG&ez[T6q,Azerbaijan,"Russia, Georgia, Armenia, Turkey, Iran","UG::Europe, UG::Sovereign_State","<img src=""ug-map-azerbaijan.png"" />",,
fEqcBd@@1^,Bangladesh,"India, Myanmar","UG::Asia, UG::Sovereign_State","<img src=""ug-map-bangladesh.png"" />",,
N~u.-qtX(~,Belarus,"Latvia, Russia, Ukraine, Poland, Lithuania","UG::Europe, UG::Sovereign_State","<img src=""ug-map-belarus.png"" />","",
qzzQ{a**Q(,Belgium,"France, Luxembourg, Netherlands, Germany","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-belgium.png"" />",,
Fwe|=s~4iH,Belize,"Guatemala, Mexico","UG::North_America, UG::Sovereign_State","<img src=""ug-map-belize.png"" />",,
r~2OQ>BxTX,Benin,"Nigeria, Burkina Faso, Togo, Niger","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-benin.png"" />",,
nxOMh}GJ;m,Bhutan,"China, India","UG::Asia, UG::Sovereign_State","<img src=""ug-map-bhutan.png"" />",,
rNulrQ/-_{,Bolivia,"Brazil, Peru, Paraguay, Chile, Argentina","UG::South_America, UG::Sovereign_State","<img src=""ug-map-bolivia.png"" />",,
Nxj#u{sINh,Bosnia and Herzegovina,"Croatia, Serbia, Montenegro","UG::Europe, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-bosnia_and_herzegovina.png"" />",,
snp+x:P$58,Botswana,"Zimbabwe, Namibia, South Africa","UG::Africa, UG::Sovereign_State","<img src=""ug-map-botswana.png"" />",,
D0(U;{9!@p,Brazil,"Venezuela, Argentina, Bolivia, Colombia, Guyana, Paraguay, Peru, Suriname, Uruguay, French Guiana","UG::South_America, UG::Sovereign_State","<img src=""ug-map-brazil.png"" />",,
G27N`VIfp.,Brunei,Malaysia,"UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-brunei.png"" />",,
wsfB15eSSq,Bulgaria,"Serbia, Romania, Greece, Turkey, North Macedonia","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-bulgaria.png"" />",,
"Lf,)l>R<|I",Burkina Faso,"Togo, Ghana, Benin, Ivory Coast, Mali, Niger","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-burkina_faso.png"" />",,
F6jo|-6I~A,Burundi,"Democratic Republic of the Congo, Tanzania, Rwanda","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-burundi.png"" />",,
z0QOjl`#U>,Cambodia,"Thailand, Laos, Vietnam","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-cambodia.png"" />",,
PCFK(_k3Pt,Cameroon,"Chad, Gabon, Equatorial Guinea, Nigeria, Central African Republic, Republic of the Congo","UG::Africa, UG::Sovereign_State","<img src=""ug-map-cameroon.png"" />",,
BA:Bd*/43X,Canada,United States of America,"UG::North_America, UG::Sovereign_State","<img src=""ug-map-canada.png"" />",,
o[@ZqT0aXj,Central African Republic,"Republic of the Congo, Chad, Cameroon, Sudan, South Sudan, Democratic Republic of the Congo","UG::Africa, UG::Sovereign_State","<img src=""ug-map-central_african_republic.png"" />",,
"inQGdx,KY~",Chad,"Niger, Nigeria, Sudan, Libya, Cameroon, Central African Republic","UG::Africa, UG::Sovereign_State","<img src=""ug-map-chad.png"" />",,
"kd!(Wui:,|",Chile,"Argentina, Bolivia, Peru","UG::South_America, UG::Sovereign_State","<img src=""ug-map-chile.png"" />",,
CtodXK)WAz,China,"Laos, Myanmar, Kyrgyzstan, Vietnam, Tajikistan, India, Bhutan, Afghanistan, Kazakhstan, Russia, Pakistan, Nepal, Mongolia, North Korea","UG::Asia, UG::Sovereign_State","<img src=""ug-map-china.png"" />","",
F3tSc=7[+<,Colombia,"Venezuela, Panama, Peru, Ecuador, Brazil","UG::South_America, UG::Sovereign_State","<img src=""ug-map-colombia.png"" />",,
o>+(&C}<sm,Costa Rica,"Nicaragua, Panama","UG::North_America, UG::Sovereign_State","<img src=""ug-map-costa_rica.png"" />",,
p_9@C-|o$+,Croatia,"Hungary, Bosnia and Herzegovina, Montenegro, Serbia, Slovenia","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-croatia.png"" />",,
lP.$*Q2eJf,Cuba,United States of America,"UG::Caribbean, UG::North_America, UG::Sovereign_State","<img src=""ug-map-cuba.png"" />",,
k/K{sfg|WT,Czech Republic,"Slovakia, Poland, Germany, Austria","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-czech_republic.png"" />",Also known as Czechia.,
B.>n.oV&yB,Democratic Republic of the Congo,"Tanzania, Angola, Burundi, Central African Republic, Republic of the Congo, Rwanda, Uganda, Zambia, South Sudan","UG::Africa, UG::Sovereign_State","<img src=""ug-map-democratic_republic_of_the_congo.png"" />",Formerly Zaire.,
BQ/yZow~et,Denmark,Germany,"UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-denmark.png"" />",,
